"시점",0 총지수,전세,월세
"시점",전국,전국,전국
"1994. 10",52.981,59.692,79.344
"1994. 11",53.063,59.876,79.508
"1994. 12",53.104,59.937,79.918
"1995. 01",53.601,60.059,80.327
"1995. 02",53.820,60.182,80.572
"1995. 03",54.368,60.304,80.818
"1995. 04",54.696,60.610,81.146
"1995. 05",54.806,60.917,81.638
"1995. 06",54.643,61.161,81.965
"1995. 07",54.806,61.528,82.211
"1995. 08",55.135,61.651,82.375
"1995. 09",55.628,61.895,82.457
"1995. 10",55.355,61.957,82.537
"1995. 11",55.245,62.080,83.029
"1995. 12",55.628,62.263,83.275
"1996. 01",56.176,62.386,83.275
"1996. 02",56.397,62.508,83.602
"1996. 03",56.780,62.631,83.766
"1996. 04",57.163,62.875,83.930
"1996. 05",57.492,63.304,84.093
"1996. 06",57.492,63.671,84.257
"1996. 07",57.766,63.794,84.339
"1996. 08",58.039,63.978,84.666
"1996. 09",58.150,64.100,84.830
"1996. 10",58.150,64.222,84.912
"1996. 11",58.150,64.345,84.994
"1996. 12",58.368,64.589,85.075
"1997. 01",58.808,64.712,85.240
"1997. 02",59.136,64.956,85.240
"1997. 03",59.355,65.141,85.731
"1997. 04",59.629,65.569,85.977
"1997. 05",59.684,65.814,86.223
"1997. 06",59.793,65.937,86.386
"1997. 07",59.903,66.120,86.468
"1997. 08",60.341,66.181,86.550
"1997. 09",60.617,66.304,86.550
"1997. 10",60.617,66.365,86.550
"1997. 11",60.670,66.487,86.631
"1997. 12",62.205,66.610,86.714
"1998. 01",63.685,66.610,86.795
"1998. 02",64.782,66.671,87.041
"1998. 03",64.672,66.671,87.287
"1998. 04",64.891,66.732,87.451
"1998. 05",64.562,66.549,87.205
"1998. 06",64.288,66.426,87.287
"1998. 07",64.288,66.181,87.205
"1998. 08",64.507,66.059,87.123
"1998. 09",64.782,65.937,86.714
"1998. 10",65.000,65.508,86.550
"1998. 11",64.782,65.080,86.305
"1998. 12",64.672,64.835,85.977
"1999. 01",64.617,64.528,85.731
"1999. 02",64.891,64.345,84.912
"1999. 03",65.000,64.038,84.830
"1999. 04",65.164,63.732,84.748
"1999. 05",65.055,63.365,84.502
"1999. 06",64.672,63.059,84.339
"1999. 07",64.452,62.937,84.257
"1999. 08",65.111,62.693,83.930
"1999. 09",65.275,62.508,83.847
"1999. 10",65.768,62.325,83.684
"1999. 11",65.658,62.263,83.602
"1999. 12",65.548,62.263,83.357
"2000. 01",65.839,62.229,83.462
"2000. 02",66.040,62.291,83.630
"2000. 03",66.372,62.354,83.713
"2000. 04",66.106,62.543,83.882
"2000. 05",65.773,62.606,83.882
"2000. 06",66.106,62.731,83.966
"2000. 07",66.372,62.794,84.218
"2000. 08",66.704,62.919,84.302
"2000. 09",67.570,63.045,84.471
"2000. 10",67.504,63.171,84.555
"2000. 11",67.104,63.421,84.640
"2000. 12",67.370,63.673,84.891
"2001. 01",68.103,63.987,84.976
"2001. 02",68.435,64.050,85.060
"2001. 03",69.035,64.301,85.144
"2001. 04",69.301,64.991,85.396
"2001. 05",69.234,65.305,85.564
"2001. 06",69.434,65.996,85.818
"2001. 07",69.567,66.310,85.985
"2001. 08",69.833,66.498,86.154
"2001. 09",69.767,66.750,86.322
"2001. 10",69.767,67.064,86.322
"2001. 11",69.368,67.566,86.490
"2001. 12",69.501,68.319,86.574
"2002. 01",69.900,68.634,86.827
"2002. 02",70.233,68.948,86.911
"2002. 03",70.632,69.261,87.079
"2002. 04",71.032,69.826,87.247
"2002. 05",71.298,70.266,87.416
"2002. 06",71.231,70.706,87.501
"2002. 07",71.032,71.083,87.583
"2002. 08",71.498,71.333,87.668
"2002. 09",71.898,71.648,87.837
"2002. 10",71.697,71.962,87.921
"2002. 11",71.764,72.150,87.921
"2002. 12",72.096,72.401,87.921
"2003. 01",72.564,72.527,88.005
"2003. 02",72.962,72.715,88.173
"2003. 03",73.828,72.967,88.342
"2003. 04",73.695,73.280,88.425
"2003. 05",73.562,73.657,88.510
"2003. 06",73.362,73.845,88.678
"2003. 07",73.296,74.034,88.762
"2003. 08",73.628,74.222,88.762
"2003. 09",74.294,74.410,88.762
"2003. 10",74.360,74.537,88.762
"2003. 11",74.227,74.724,88.846
"2003. 12",74.561,74.913,88.846
"2004. 01",75.027,75.039,89.015
"2004. 02",75.359,75.102,88.930
"2004. 03",76.091,75.164,88.846
"2004. 04",76.091,75.290,88.846
"2004. 05",76.025,75.352,88.846
"2004. 06",76.025,75.415,88.762
"2004. 07",76.491,75.478,88.762
"2004. 08",77.156,75.541,88.678
"2004. 09",77.156,75.541,88.594
"2004. 10",77.156,75.541,88.510
"2004. 11",76.691,75.541,88.510
"2004. 12",76.824,75.478,88.425
"2005. 01",77.580,75.506,88.219
"2005. 02",77.895,75.506,88.132
"2005. 03",78.365,75.431,88.132
"2005. 04",78.444,75.431,87.956
"2005. 05",78.365,75.431,87.868
"2005. 06",78.129,75.356,87.692
"2005. 07",78.444,75.431,87.605
"2005. 08",78.679,75.356,87.605
"2005. 09",79.071,75.356,87.517
"2005. 10",78.914,75.431,87.517
"2005. 11",78.600,75.431,87.517
"2005. 12",78.836,75.431,87.517
"2006. 01",79.306,75.431,87.517
"2006. 02",79.464,75.582,87.429
"2006. 03",79.934,75.582,87.429
"2006. 04",80.013,75.733,87.341
"2006. 05",80.169,75.808,87.341
"2006. 06",80.013,75.883,87.341
"2006. 07",80.326,75.959,87.341
"2006. 08",80.797,76.035,87.429
"2006. 09",81.032,76.110,87.517
"2006. 10",80.640,76.336,87.605
"2006. 11",80.248,76.487,87.781
"2006. 12",80.483,76.714,87.868
"2007. 01",80.640,76.939,87.868
"2007. 02",81.189,77.091,87.956
"2007. 03",81.660,77.241,87.956
"2007. 04",81.973,77.392,88.043
"2007. 05",82.052,77.543,88.043
"2007. 06",82.052,77.618,88.132
"2007. 07",82.366,77.694,88.219
"2007. 08",82.444,77.845,88.307
"2007. 09",82.915,77.920,88.395
"2007. 10",83.072,78.071,88.482
"2007. 11",83.072,78.298,88.746
"2007. 12",83.386,78.448,88.833
"2008. 01",83.777,78.599,88.921
"2008. 02",84.092,78.750,89.097
"2008. 03",84.876,78.977,89.184
"2008. 04",85.347,79.202,89.360
"2008. 05",86.052,79.354,89.624
"2008. 06",86.601,79.580,89.799
"2008. 07",87.229,79.806,89.887
"2008. 08",87.072,79.957,89.975
"2008. 09",87.151,80.032,90.062
"2008. 10",87.072,80.259,90.238
"2008. 11",86.837,80.409,90.414
"2008. 12",86.837,80.560,90.502
"2009. 01",86.916,80.636,90.589
"2009. 02",87.543,80.636,90.589
"2009. 03",88.170,80.636,90.589
"2009. 04",88.405,80.711,90.677
"2009. 05",88.405,80.862,90.677
"2009. 06",88.327,80.862,90.765
"2009. 07",88.641,80.938,90.852
"2009. 08",88.955,81.088,90.940
"2009. 09",89.034,81.240,91.028
"2009. 10",88.798,81.315,91.116
"2009. 11",88.955,81.465,91.292
"2009. 12",89.269,81.541,91.467
"2010. 01",89.974,81.718,91.558
"2010. 02",90.156,81.883,91.650
"2010. 03",90.338,82.048,91.742
"2010. 04",90.702,82.214,91.834
"2010. 05",90.793,82.462,91.926
"2010. 06",90.702,82.627,92.019
"2010. 07",90.884,82.793,92.111
"2010. 08",91.340,82.958,92.203
"2010. 09",92.068,83.124,92.295
"2010. 10",92.068,83.289,92.479
"2010. 11",91.613,83.537,92.663
"2010. 12",91.977,83.868,92.848
"2011. 01",93.070,84.116,93.032
"2011. 02",93.707,84.364,93.308
"2011. 03",94.072,85.026,93.584
"2011. 04",94.163,85.522,93.861
"2011. 05",94.345,86.019,94.229
"2011. 06",94.527,86.432,94.506
"2011. 07",94.982,86.763,94.690
"2011. 08",95.620,87.176,94.966
"2011. 09",95.529,87.590,95.150
"2011. 10",95.347,88.004,95.427
"2011. 11",95.438,88.500,95.795
"2011. 12",95.802,88.831,95.887
"2012. 01",96.184,89.128,96.118
"2012. 02",96.549,89.410,96.311
"2012. 03",96.576,89.898,96.532
"2012. 04",96.567,90.295,96.818
"2012. 05",96.740,90.584,97.066
"2012. 06",96.603,90.832,97.232
"2012. 07",96.385,91.023,97.352
"2012. 08",96.831,91.204,97.481
"2012. 09",97.523,91.403,97.564
"2012. 10",97.341,91.659,97.637
"2012. 11",96.995,91.941,97.803
"2012. 12",97.168,92.172,97.941
"2013. 01",97.751,92.404,98.070
"2013. 02",98.078,92.594,98.181
"2013. 03",97.987,92.883,98.347
"2013. 04",97.851,93.148,98.485
"2013. 05",97.851,93.388,98.623
"2013. 06",97.732,93.611,98.697
"2013. 07",97.942,93.777,98.807
"2013. 08",98.288,93.984,98.973
"2013. 09",98.479,94.182,99.111
"2013. 10",98.179,94.422,99.212
"2013. 11",98.160,94.678,99.277
"2013. 12",98.279,94.926,99.369
"2014. 01",98.807,95.108,99.470
"2014. 02",99.071,95.373,99.526
"2014. 03",99.253,95.696,99.581
"2014. 04",99.317,96.068,99.673
"2014. 05",99.481,96.258,99.691
"2014. 06",99.353,96.448,99.701
"2014. 07",99.499,96.614,99.719
"2014. 08",99.672,96.787,99.728
"2014. 09",99.608,97.011,99.784
"2014. 10",99.308,97.234,99.866
"2014. 11",99.108,97.565,99.876
"2014. 12",99.098,97.871,99.876
"2015. 01",99.77,98.45,99.85
"2015. 02",99.71,98.64,99.86
"2015. 03",99.72,98.91,99.90
"2015. 04",99.75,99.26,99.93
"2015. 05",100.03,99.55,100.00
"2015. 06",100.05,99.87,100.02
"2015. 07",100.23,100.18,100.03
"2015. 08",100.37,100.50,100.03
"2015. 09",100.11,100.75,100.05
"2015. 10",100.11,101.00,100.07
"2015. 11",99.92,101.28,100.11
"2015. 12",100.22,101.62,100.16
"2016. 01",100.39,101.90,100.21
"2016. 02",100.82,102.07,100.25
"2016. 03",100.56,102.36,100.29
"2016. 04",100.75,102.54,100.31
"2016. 05",100.81,102.77,100.36
"2016. 06",100.79,103.03,100.37
"2016. 07",100.60,103.28,100.43
"2016. 08",100.86,103.55,100.43
"2016. 09",101.46,103.79,100.42
"2016. 10",101.60,103.98,100.42
"2016. 11",101.45,104.22,100.48
"2016. 12",101.56,104.59,100.49
"2017. 01",102.64,104.84,100.48
"2017. 02",102.92,105.12,100.55
"2017. 03",102.85,105.44,100.54
"2017. 04",102.72,105.77,100.51
"2017. 05",102.83,106.03,100.60
"2017. 06",102.61,106.21,100.59
"2017. 07",102.78,106.39,100.54
"2017. 08",103.37,106.56,100.50
"2017. 09",103.49,106.67,100.48
"2017. 10",103.39,106.76,100.45
"2017. 11",102.62,106.94,100.46
"2017. 12",102.99,107.00,100.42
"2018. 01",103.42,107.17,100.41
"2018. 02",104.21,107.30,100.40
"2018. 03",104.10,107.42,100.35
"2018. 04",104.29,107.55,100.31
"2018. 05",104.34,107.64,100.28
"2018. 06",104.13,107.71,100.22
"2018. 07",103.93,107.77,100.19
"2018. 08",104.85,107.83,100.17
"2018. 09",105.65,107.86,100.14
"2018. 10",105.46,107.90,100.13
"2018. 11",104.71,107.93,100.11
"2018. 12",104.35,107.96,100.05
"2019. 01",104.24,107.96,100.02
"2019. 02",104.69,107.98,99.98
"2019. 03",104.49,107.98,99.90
